Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903660_2010-08-09_10-18-01.xad
Data File Path,S:\Genomics\Microarray\BioAnalyzerData\2100_Data_from_old_PC_03302011\data\ARP\2010-08-09
Date Created,"Monday, August 09, 2010 3:18:01 PM"
Date Last Modified,"Monday, August 09, 2010 3:41:59 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,+GFP dJARID2 M 8-2
Number of Events,1060
 
Time,Value
17,6.901804E-03
17.05,1.546978E-02
17.1,1.608959E-02
17.15,5.104355E-03
17.2,-2.137643E-03
17.25,-5.303774E-03
17.3,8.124477E-03
17.35,0.019075
17.4,0.0437436
17.45,0.0459298
17.5,2.044478E-02
17.55,-8.165766E-03
17.6,-1.620544E-02
17.65,-1.724018E-02
17.7,8.242528E-05
17.75,7.894989E-03
17.8,7.568914E-03
17.85,-1.062289E-02
17.9,-3.387221E-02
17.95,-5.528864E-02
18,-5.634151E-02
18.05,-0.0383645
18.1,-1.956146E-02
18.15,-1.472848E-02
18.2,-3.215687E-03
18.25,9.032399E-03
18.3,1.528839E-02
18.35,9.788901E-03
18.4,4.522268E-03
18.45,-1.153654E-02
18.5,-3.194626E-02
18.55,-3.053784E-02
18.6,-1.805201E-02
18.65,-1.767123E-04
18.7,4.625932E-03
18.75,9.531786E-03
18.8,9.943157E-03
18.85,5.824176E-03
18.9,3.46802E-03
18.95,7.389184E-03
19,9.311509E-03
19.05,9.146729E-03
19.1,6.045431E-04
19.15,1.353428E-02
19.2,0.0145054
19.25,1.877715E-02
19.3,2.943991E-02
19.35,0.0383976
19.4,2.427874E-02
19.45,1.969228E-02
19.5,5.624568E-03
19.55,5.607409E-03
19.6,-1.914711E-02
19.65,-2.223921E-02
19.7,-1.753158E-02
19.75,-1.283243E-02
19.8,-1.365569E-04
19.85,1.525978E-02
19.9,2.739857E-02
19.95,4.944718E-02
20,4.964576E-02
20.05,4.807715E-02
20.1,2.398922E-02
20.15,9.809359E-04
20.2,-1.755938E-02
20.25,-1.129253E-02
20.3,7.16459E-03
20.35,9.481476E-03
20.4,-3.254771E-03
20.45,-1.263828E-02
20.5,-8.023427E-03
20.55,1.078524E-02
20.6,3.715099E-02
20.65,5.794088E-02
20.7,5.031896E-02
20.75,2.111209E-02
20.8,-1.088655E-02
20.85,-1.987069E-02
20.9,-0.0175795
20.95,-8.39019E-03
21,1.431383E-02
21.05,2.857412E-02
21.1,3.112633E-02
21.15,2.837253E-02
21.2,2.298114E-02
21.25,1.215313E-02
21.3,-1.478892E-03
21.35,-5.127849E-03
21.4,-2.055196E-03
21.45,-1.089474E-02
21.5,-2.295356E-02
21.55,-2.818098E-02
21.6,-2.948944E-02
21.65,-2.973141E-02
21.7,-0.0231007
21.75,-2.926134E-03
21.8,7.85709E-03
21.85,1.233459E-02
21.9,1.655077E-02
21.95,2.333749E-02
22,2.531459E-02
22.05,-9.337705E-03
22.1,-6.155873E-02
22.15,-9.054799E-02
22.2,3.332864E-02
22.25,0.8027339
22.3,2.617085
22.35,5.390548
22.4,8.473842
22.45,10.76917
22.5,11.45079
22.55,10.22973
22.6,7.73039
22.65,4.970165
22.7,2.69434
22.75,1.239174
22.8,0.5018882
22.85,0.2019279
22.9,0.1104608
22.95,5.880152E-02
23,1.944506E-02
23.05,-0.0017021
23.1,-3.534475E-03
23.15,8.769374E-03
23.2,2.674792E-02
23.25,4.764806E-02
23.3,4.496353E-02
23.35,3.825784E-02
23.4,2.442533E-02
23.45,2.112289E-02
23.5,2.382277E-02
23.55,1.811905E-02
23.6,1.612758E-02
23.65,1.182844E-02
23.7,1.411453E-02
23.75,1.566757E-02
23.8,1.909684E-02
23.85,3.894017E-02
23.9,4.306133E-02
23.95,3.850064E-02
24,3.663608E-02
24.05,3.674873E-02
24.1,3.019691E-02
24.15,3.217759E-02
24.2,4.546332E-02
24.25,3.964399E-02
24.3,2.716898E-02
24.35,4.46886E-03
24.4,-0.0103938
24.45,-8.379932E-03
24.5,3.351503E-03
24.55,1.186541E-02
24.6,1.728029E-02
24.65,1.924694E-02
24.7,2.688405E-02
24.75,0.0213263
24.8,2.562243E-02
24.85,2.337052E-02
24.9,3.236927E-02
24.95,5.477163E-02
25,7.055792E-02
25.05,6.003169E-02
25.1,5.080052E-02
25.15,3.192845E-02
25.2,2.396675E-02
25.25,3.680371E-02
25.3,7.983308E-02
25.35,0.1458524
25.4,0.2286355
25.45,0.3140878
25.5,0.369023
25.55,0.413321
25.6,0.49115
25.65,0.5688863
25.7,0.6187192
25.75,0.6638317
25.8,0.6518931
25.85,0.6337575
25.9,0.6119984
25.95,0.6102664
26,0.6244818
26.05,0.6273778
26.1,0.6308683
26.15,0.647906
26.2,0.6617574
26.25,0.6813773
26.3,0.6722737
26.35,0.6585959
26.4,0.6385196
26.45,0.624096
26.5,0.6266451
26.55,0.6708375
26.6,0.7763721
26.65,0.9296269
26.7,1.092842
26.75,1.234391
26.8,1.308797
26.85,1.287928
26.9,1.184638
26.95,1.032859
27,0.8545992
27.05,0.6642705
27.1,0.5039157
27.15,0.3849817
27.2,0.3109347
27.25,0.2755026
27.3,0.2324524
27.35,0.186242
27.4,0.1513352
27.45,0.1261537
27.5,0.1121294
27.55,0.105634
27.6,0.1187095
27.65,0.1212032
27.7,0.1400547
27.75,0.1665098
27.8,0.1685072
27.85,0.1322175
27.9,0.1165186
27.95,9.166448E-02
28,8.445944E-02
28.05,9.555592E-02
28.1,0.1137661
28.15,0.1189876
28.2,0.1220777
28.25,0.1605138
28.3,0.1915696
28.35,0.1815109
28.4,0.1624556
28.45,0.1341341
