Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903660_2010-08-09_10-18-01.xad
Data File Path,S:\Genomics\Microarray\BioAnalyzerData\2100_Data_from_old_PC_03302011\data\ARP\2010-08-09
Date Created,"Monday, August 09, 2010 3:18:01 PM"
Date Last Modified,"Monday, August 09, 2010 3:41:59 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,+GFP dJARID2 M 7-29
Number of Events,1060
 
Time,Value
17,2.143056E-02
17.05,9.376497E-03
17.1,-8.004088E-03
17.15,-1.604765E-02
17.2,1.815534E-03
17.25,-4.407624E-04
17.3,-1.221189E-02
17.35,-1.055554E-02
17.4,-1.408047E-02
17.45,-2.649703E-02
17.5,-1.137034E-02
17.55,-9.937647E-03
17.6,-9.214985E-03
17.65,0.0083337
17.7,2.437346E-02
17.75,0.0433896
17.8,4.489598E-02
17.85,4.829031E-02
17.9,3.502532E-02
17.95,1.281109E-02
18,2.538298E-03
18.05,-5.466003E-03
18.1,-1.694029E-02
18.15,-2.103953E-02
18.2,-1.562562E-02
18.25,-1.535272E-02
18.3,-0.0191081
18.35,-4.571312E-03
18.4,1.851967E-02
18.45,3.864041E-02
18.5,4.118232E-02
18.55,2.658393E-02
18.6,1.161548E-02
18.65,-1.489691E-02
18.7,-0.0225639
18.75,-1.396264E-02
18.8,2.003079E-03
18.85,1.960896E-03
18.9,5.28615E-03
18.95,0.0076017
19,1.259947E-02
19.05,2.655095E-02
19.1,5.305752E-02
19.15,5.681175E-02
19.2,6.039021E-02
19.25,5.836962E-02
19.3,6.341335E-02
19.35,5.766908E-02
19.4,4.520761E-02
19.45,2.988824E-02
19.5,2.606511E-02
19.55,2.669836E-02
19.6,4.951985E-02
19.65,6.018445E-02
19.7,5.250712E-02
19.75,3.883953E-02
19.8,2.190374E-02
19.85,1.492518E-02
19.9,2.178275E-02
19.95,4.626639E-02
20,6.584544E-02
20.05,6.825908E-02
20.1,6.468575E-02
20.15,3.927611E-02
20.2,2.387427E-02
20.25,3.017527E-02
20.3,4.538939E-02
20.35,0.0661834
20.4,5.093652E-02
20.45,0.0464288
20.5,4.349862E-02
20.55,4.257221E-02
20.6,5.155354E-02
20.65,6.866442E-02
20.7,7.379168E-02
20.75,6.994555E-02
20.8,6.261715E-02
20.85,5.610397E-02
20.9,4.853301E-02
20.95,3.793409E-02
21,3.928607E-02
21.05,2.777832E-02
21.1,0.0265112
21.15,4.988687E-02
21.2,4.560053E-02
21.25,3.440398E-02
21.3,2.327837E-02
21.35,9.950063E-03
21.4,5.981355E-03
21.45,1.057836E-02
21.5,2.804652E-02
21.55,3.188086E-02
21.6,2.880847E-02
21.65,3.326111E-02
21.7,2.774141E-02
21.75,2.747494E-02
21.8,3.502763E-02
21.85,0.0393823
21.9,4.639341E-02
21.95,4.672137E-02
22,4.092943E-02
22.05,0.0308188
22.1,5.598166E-03
22.15,-7.360026E-03
22.2,4.625359E-02
22.25,0.466019
22.3,1.781804
22.35,4.275548
22.4,7.550682
22.45,10.5874
22.5,12.28284
22.55,11.92006
22.6,9.826417
22.65,6.917834
22.7,4.205413
22.75,2.246208
22.8,1.073213
22.85,0.5056774
22.9,0.2642077
22.95,0.162403
23,0.1117755
23.05,0.0817417
23.1,7.320088E-02
23.15,8.028085E-02
23.2,9.388688E-02
23.25,0.1161352
23.3,0.1281161
23.35,0.1279771
23.4,0.1346665
23.45,0.140348
23.5,0.1397646
23.55,0.1400293
23.6,0.1553913
23.65,0.1734456
23.7,0.1782691
23.75,0.1709889
23.8,0.137939
23.85,0.1053933
23.9,9.897237E-02
23.95,0.1070746
24,0.1260959
24.05,0.1224571
24.1,0.1203511
24.15,0.1258252
24.2,0.141903
24.25,0.1656871
24.3,0.1596022
24.35,0.1349782
24.4,0.109308
24.45,0.0948768
24.5,0.1007442
24.55,0.1115926
24.6,0.1145005
24.65,0.1090634
24.7,0.1100227
24.75,0.1361681
24.8,0.1645614
24.85,0.1758149
24.9,0.1812807
24.95,0.1696231
25,0.1580947
25.05,0.1652649
25.1,0.178709
25.15,0.19235
25.2,0.2093675
25.25,0.2359387
25.3,0.2775509
25.35,0.3471092
25.4,0.43274
25.45,0.5220507
25.5,0.6108512
25.55,0.7398726
25.6,0.8772576
25.65,1.005292
25.7,1.110689
25.75,1.172706
25.8,1.174506
25.85,1.165825
25.9,1.114626
25.95,1.07127
26,1.030305
26.05,1.004223
26.1,1.002923
26.15,1.012982
26.2,1.078921
26.25,1.127186
26.3,1.122738
26.35,1.101653
26.4,1.080063
26.45,1.073506
26.5,1.093842
26.55,1.171287
26.6,1.372377
26.65,1.714606
26.7,2.171939
26.75,2.641984
26.8,2.986718
26.85,3.08217
26.9,2.886009
26.95,2.502328
27,2.057648
27.05,1.637807
27.1,1.278786
27.15,0.99253
27.2,0.7956408
27.25,0.6373289
27.3,0.5359942
27.35,0.48214
27.4,0.4488414
27.45,0.4103949
27.5,0.3729669
27.55,0.3628704
27.6,0.358272
27.65,0.3497449
27.7,0.3480043
27.75,0.3399633
27.8,0.3232916
27.85,0.3110034
27.9,0.323835
27.95,0.3437103
28,0.3638759
28.05,0.379146
28.1,0.3793156
28.15,0.35811
28.2,0.332365
28.25,0.3213971
28.3,0.3237146
28.35,0.3372348
28.4,0.3496723
28.45,0.3515944
28.5,0.3413534
28.55,0.3343176
28.6,0.3278867
28.65,0.3121429
28.7,0.3071445
28.75,0.3075179
28.8,0.2957591
28.85,0.2886325
28.9,0.2989514
28.95,0.3074556
29,0.3019513
29.05,0.2936225
29.1,0.2924211
29.15,0.2695489
29.2,0.271627
29.25,0.292618
